STATE,INCOME,AGE,EDU,SEX,RACE,MARST,CHILDREN,VOTED
New Mexico,21707,24,High School,Female,White,Never married/single,1,Did not vote
New York,61316,23,High School,Female,White,Never married/single,3,Voted
Vermont,33025,67,High School,Female,White,"Married, spouse present",1,Voted
Washington,68820,69,High School,Female,White,"Married, spouse present",3,Voted
California,63573,68,College,Female,White,"Married, spouse present",1,Voted
California,110706,49,College,Male,Asian only,Never married/single,0,Voted
California,25999,78,High School,Female,Black/Negro,"Married, spouse absent",1,Did not vote
Washington,282917,41,High School,Female,White,"Married, spouse present",1,Voted
North Dakota,39565,31,High School,Male,White,Never married/single,0,Did not vote
North Dakota,67263,77,High School,Female,White,Widowed,3,Did not vote
West Virginia,30562,78,High School,Female,White,"Married, spouse present",2,Did not vote
New York,72786,24,College,Female,Black/Negro,Never married/single,0,Don't know
California,56039,38,College,Female,Asian only,Never married/single,1,Voted
Pennsylvania,25263,60,High School,Female,White,Never married/single,3,Voted
Tennessee,38797,38,High School,Female,Asian only,Widowed,3,Did not vote
California,56354,22,High School,Female,White,Never married/single,2,Voted
Alabama,38260,58,High School,Male,Black/Negro,Separated,0,Did not vote
Georgia,27496,58,High School,Male,White,Divorced,1,Voted
Delaware,99528,35,No Degree,Male,White,Never married/single,0,Voted
Louisiana,55530,64,High School,Female,White,"Married, spouse present",4,Voted
Louisiana,102146,42,No Degree,Female,White,"Married, spouse present",1,Voted
Wyoming,59768,36,College,Male,Asian only,"Married, spouse absent",1,Voted
Connecticut,52156,60,College,Female,Asian only,"Married, spouse present",1,Did not vote
North Carolina,50905,59,High School,Female,White,Never married/single,1,Did not vote
Wisconsin,144054,29,College,Female,White,"Married, spouse present",0,Voted
New Hampshire,236340,69,College,Male,White,"Married, spouse present",1,Voted
Vermont,43167,35,High School,Female,White-American Indian,Never married/single,1,Did not vote
New Mexico,98072,57,High School,Female,White,"Married, spouse present",1,Voted
Florida,33666,36,High School,Male,White,Never married/single,2,Did not vote
Nebraska,28872,38,High School,Male,Black/Negro,Never married/single,1,Did not vote
Oklahoma,51358,61,High School,Male,White,"Married, spouse present",2,Voted
California,207810,75,High School,Female,White,"Married, spouse present",2,Voted
Massachusetts,39224,25,High School,Female,White,Never married/single,1,Don't know
Arizona,20747,53,High School,Female,White,Divorced,1,Voted
New Mexico,20664,21,High School,Female,White,Never married/single,1,Did not vote
Iowa,57536,53,High School,Female,White,Never married/single,2,Voted
Indiana,11193,68,High School,Female,White,Divorced,1,Did not vote
California,170755,45,College,Female,White,"Married, spouse present",3,Voted
Georgia,82340,49,High School,Female,White,Never married/single,1,Voted
Utah,121088,23,College,Female,White,"Married, spouse present",2,Voted
Georgia,36462,23,No Degree,Male,White,Never married/single,2,Did not vote
New York,38970,61,No Degree,Female,White,Divorced,1,Don't know
Louisiana,37156,73,High School,Female,White,"Married, spouse present",3,Voted
Missouri,56757,56,High School,Male,Black/Negro,"Married, spouse present",1,Voted
Vermont,69588,35,High School,Male,White,Never married/single,1,Voted
New York,106703,85,High School,Female,White,Divorced,1,Did not vote
Michigan,30808,67,High School,Female,Black/Negro,Never married/single,4,Voted
North Carolina,58436,48,High School,Male,White,"Married, spouse absent",1,Did not vote
Ohio,37214,37,High School,Female,Black/Negro,Divorced,2,Voted
Virginia,322493,24,High School,Male,White,Never married/single,0,Did not vote
Texas,47374,37,High School,Female,White,Never married/single,0,Did not vote
Illinois,126696,54,High School,Male,White,"Married, spouse present",1,Did not vote
New Hampshire,88411,77,High School,Female,White,"Married, spouse present",0,Did not vote
New York,80660,41,College,Female,White,"Married, spouse present",0,Voted
Minnesota,136692,45,College,Female,White,"Married, spouse present",1,Voted
Hawaii,46772,58,High School,Male,Asian only,Never married/single,1,Did not vote
Nebraska,140035,59,High School,Female,White,"Married, spouse present",0,Voted
North Carolina,32330,60,College,Male,White,Divorced,2,Voted
Delaware,88083,67,College,Male,Asian only,"Married, spouse present",0,Did not vote
North Dakota,36426,69,High School,Female,White,"Married, spouse present",3,Voted
California,10526,24,High School,Male,White,Never married/single,0,Voted
Kentucky,17699,68,High School,Female,Black/Negro,"Married, spouse present",4,Voted
Georgia,141675,68,College,Male,White,"Married, spouse present",0,Voted
Idaho,93828,41,High School,Female,White,"Married, spouse present",3,Did not vote
Idaho,25929,80,High School,Female,White,"Married, spouse present",0,Voted
Arizona,7486,24,High School,Male,White,Never married/single,2,Did not vote
Alabama,11456,23,High School,Male,White,Never married/single,0,Did not vote
Maryland,41689,68,High School,Male,Black/Negro,Divorced,1,Voted
Alabama,5458,27,College,Female,White,"Married, spouse present",2,Voted
District of Columbia,97135,65,High School,Female,White-Black-American Indian,Divorced,3,Voted
Mississippi,32315,62,High School,Female,White,Divorced,0,Voted
Louisiana,46748,37,High School,Male,White,Divorced,2,Voted
Maine,69327,63,High School,Male,White,"Married, spouse present",2,Voted
Mississippi,15628,55,High School,Female,White,"Married, spouse present",0,Voted
Washington,96216,37,High School,Female,White,"Married, spouse present",0,Voted
Virginia,100703,42,College,Female,Black/Negro,"Married, spouse present",1,Voted
New York,59383,65,College,Female,White,Never married/single,0,Voted
Arizona,225691,71,High School,Female,White,"Married, spouse present",2,Voted
Connecticut,188679,34,High School,Female,White,Never married/single,1,Voted
Kentucky,103135,20,High School,Female,White,Never married/single,0,Voted
Florida,116117,23,High School,Female,White,"Married, spouse present",1,Did not vote
Ohio,52665,18,High School,Female,White,Never married/single,0,Don't know
Georgia,231273,20,High School,Male,White,Never married/single,1,Voted
California,64637,66,High School,Female,White,"Married, spouse present",2,Voted
District of Columbia,207531,31,College,Female,White,"Married, spouse present",2,Did not vote
California,96855,39,High School,Female,American Indian/Aleut/Eskimo,"Married, spouse present",1,Did not vote
California,109666,21,High School,Male,White,Never married/single,1,Voted
New Mexico,50522,80,High School,Female,White,"Married, spouse present",1,Voted
Vermont,44671,74,College,Female,White,Widowed,0,Voted
Pennsylvania,105197,33,High School,Female,White,"Married, spouse present",3,Did not vote
Alabama,4439,20,High School,Male,White,Never married/single,2,Voted
North Dakota,39293,33,College,Female,White,"Married, spouse present",1,Did not vote
Arkansas,26883,23,High School,Female,Black/Negro,Never married/single,0,Voted
California,29537,67,High School,Female,White,"Married, spouse present",1,Voted
Rhode Island,11449,30,High School,Female,White,Never married/single,0,Voted
Delaware,11896,65,High School,Female,White,Divorced,1,Voted
North Dakota,28336,23,High School,Male,White,Never married/single,1,Did not vote
South Carolina,39756,34,High School,Female,Black/Negro,"Married, spouse present",0,Voted
Indiana,13763,85,High School,Female,White,Widowed,1,Voted
Maryland,154768,25,High School,Male,White,Never married/single,1,Did not vote
Massachusetts,139651,53,College,Female,White,Divorced,0,Voted
District of Columbia,206516,35,College,Male,White,"Married, spouse present",2,Did not vote
New York,32778,34,College,Female,White,Never married/single,1,Voted
Idaho,42906,61,High School,Female,White,"Married, spouse present",0,Voted
South Dakota,66443,34,High School,Female,White,"Married, spouse present",1,Did not vote
Connecticut,170773,18,High School,Male,White,Never married/single,1,Voted
Georgia,20966,75,High School,Female,White,Widowed,2,Voted
Mississippi,9069,44,High School,Female,White,Divorced,2,Voted
Alaska,163671,54,High School,Female,White,"Married, spouse present",2,Voted
Georgia,248791,38,College,Female,Black/Negro,"Married, spouse present",1,Voted
Nevada,180672,30,College,Female,White,Never married/single,1,Voted
Texas,50838,21,High School,Male,White,Never married/single,0,Did not vote
New York,148251,53,High School,Female,Black/Negro,Never married/single,2,Voted
Nebraska,125028,27,College,Female,White,"Married, spouse present",3,Did not vote
New Hampshire,59264,63,College,Male,White,"Married, spouse present",0,Voted
Virginia,45989,72,High School,Female,Black/Negro,"Married, spouse present",1,Voted
Florida,34679,43,College,Female,White,"Married, spouse present",1,Voted
Idaho,29039,33,High School,Female,White,"Married, spouse present",1,Voted
Wyoming,23092,33,College,Female,White,Never married/single,2,Did not vote
Oklahoma,10742,29,No Degree,Male,White,Never married/single,2,Did not vote
New York,113755,28,No Degree,Female,White,Never married/single,1,Did not vote
Texas,19465,73,High School,Female,White,Widowed,1,Did not vote
Florida,8198,85,College,Female,White,Divorced,2,Voted
Idaho,44142,59,High School,Female,White,Never married/single,0,Voted
Iowa,155001,20,High School,Male,White,Never married/single,1,Did not vote
Ohio,82143,42,College,Female,White,"Married, spouse present",0,Voted
Texas,47049,60,College,Male,White,Divorced,2,Voted
New York,309363,63,College,Female,White,"Married, spouse present",0,Did not vote
Ohio,60049,28,High School,Male,White,Never married/single,0,Did not vote
District of Columbia,130127,27,College,Female,White,Never married/single,1,Did not vote
Oregon,62207,59,No Degree,Female,White,"Married, spouse present",0,Did not vote
North Carolina,49000,24,College,Female,White,Never married/single,1,Did not vote
Pennsylvania,34596,38,High School,Male,White,Never married/single,1,Voted
Massachusetts,57878,69,High School,Female,White,Widowed,2,Did not vote
Idaho,57088,58,No Degree,Male,White,"Married, spouse present",2,Voted
Maine,57256,49,High School,Male,White,Divorced,0,Voted
Vermont,245583,75,High School,Female,White,"Married, spouse present",3,Voted
Florida,89801,31,No Degree,Male,White,Never married/single,2,Did not vote
Arizona,34243,31,High School,Male,White-Black,Never married/single,0,Voted
Washington,34514,71,College,Female,White,Divorced,2,Voted
Wyoming,51463,35,High School,Female,White,"Married, spouse present",1,Voted
West Virginia,38795,58,College,Male,White,"Married, spouse present",2,Did not vote
Oregon,16943,24,High School,Female,White,Never married/single,2,Voted
Mississippi,133583,52,High School,Female,Black/Negro,"Married, spouse present",1,Voted
New Mexico,41088,85,High School,Female,White,Widowed,3,Voted
Pennsylvania,11781,65,College,Male,White,Never married/single,1,Voted
Massachusetts,63316,64,High School,Male,White,"Married, spouse present",0,Did not vote
Wyoming,12288,78,High School,Female,White,Widowed,2,Voted
North Carolina,23328,78,High School,Male,White,"Married, spouse present",3,Voted
Kentucky,27029,80,High School,Female,White,Widowed,2,Did not vote
Texas,36054,32,College,Female,White,Separated,3,Voted
Kansas,48385,80,No Degree,Female,White,Widowed,1,Did not vote
Montana,64844,22,High School,Male,White,Never married/single,3,Did not vote
New Mexico,38460,58,High School,Female,White,Widowed,2,Voted
Florida,47733,35,High School,Female,White,Divorced,0,Did not vote
Georgia,49211,31,High School,Female,White,"Married, spouse present",0,Voted
Montana,145887,47,College,Male,White,"Married, spouse present",0,Voted
California,73313,34,High School,Female,White,Separated,1,Voted
Texas,33621,66,High School,Male,White,Divorced,0,Voted
New York,437969,70,College,Male,White,Widowed,2,Voted
Iowa,102937,35,College,Female,White,"Married, spouse present",1,Voted
Virginia,364739,30,High School,Female,White,"Married, spouse present",3,Don't know
Montana,34602,64,High School,Female,White,Widowed,2,Voted
South Dakota,138402,68,High School,Female,White,"Married, spouse present",0,Voted
Arkansas,467,85,High School,Female,White,"Married, spouse absent",1,Did not vote
Texas,39340,35,College,Female,White,"Married, spouse present",0,Voted
North Dakota,64345,28,High School,Female,White-Black,Never married/single,1,Voted
Colorado,113231,24,High School,Male,White,Never married/single,1,Voted
New York,65783,55,High School,Male,White,Widowed,2,Voted
Illinois,74464,63,High School,Female,White,Divorced,3,Voted
Delaware,74543,35,College,Female,White,"Married, spouse present",2,Did not vote
Wyoming,27269,66,High School,Female,White,"Married, spouse present",0,Voted
Nevada,49133,58,College,Female,White,Divorced,1,Did not vote
California,1259,26,College,Female,White,Never married/single,3,Voted
Ohio,84440,69,College,Female,White,"Married, spouse present",3,Voted
Louisiana,57054,34,High School,Male,White,"Married, spouse present",1,Voted
Ohio,54570,52,High School,Female,Black/Negro,Never married/single,0,Voted
Indiana,28624,70,High School,Male,White,Divorced,0,Voted
Texas,39774,85,No Degree,Female,White,Widowed,1,Did not vote
Texas,58731,67,High School,Female,Black/Negro,Divorced,0,Did not vote
West Virginia,16693,59,No Degree,Male,White,Divorced,0,Did not vote
North Carolina,97558,20,High School,Male,White,Never married/single,1,Voted
Georgia,34422,23,High School,Female,White,Never married/single,1,Don't know
Washington,345585,27,College,Male,Asian only,Never married/single,2,Voted
West Virginia,42656,28,High School,Male,White,Never married/single,2,Did not vote
Arkansas,34902,48,High School,Female,Black/Negro,Separated,0,Voted
Montana,88464,67,College,Female,White,"Married, spouse present",3,Voted
Georgia,62452,24,High School,Female,White,"Married, spouse present",4,Did not vote
New York,70135,69,High School,Female,White,Divorced,1,Voted
Illinois,86924,59,High School,Male,White,Divorced,3,Voted
Vermont,63575,68,College,Male,White,"Married, spouse present",3,Did not vote
Indiana,15712,66,College,Female,White,"Married, spouse present",0,Voted
Ohio,9944,80,High School,Male,White,Divorced,2,Voted
Illinois,76123,19,High School,Female,White,Never married/single,1,Voted
Tennessee,86103,45,College,Male,White,"Married, spouse present",0,Did not vote
Tennessee,34980,85,High School,Female,White,Widowed,2,Did not vote
Arkansas,27817,58,High School,Female,Black/Negro,Widowed,1,Did not vote
Rhode Island,129219,71,High School,Female,White,Widowed,0,Voted
Missouri,59568,85,High School,Female,White,Widowed,0,Voted
Florida,165213,38,High School,Female,White,"Married, spouse present",1,Did not vote
Louisiana,69814,61,High School,Male,White,Never married/single,0,Did not vote
Florida,52935,55,College,Male,Black/Negro,Never married/single,0,Voted
Ohio,668087,27,High School,Male,White,Never married/single,2,Voted
Mississippi,32007,62,College,Female,White,Divorced,1,Voted
New Hampshire,53796,23,College,Male,White,Never married/single,5,Voted
Texas,36945,64,High School,Female,White,"Married, spouse present",3,Voted
Montana,114664,69,No Degree,Female,White,Divorced,0,Did not vote
South Dakota,106241,63,High School,Female,White,"Married, spouse present",0,Voted
New Jersey,52857,45,High School,Male,White,Never married/single,0,Voted
North Dakota,57952,20,High School,Female,White,Never married/single,1,Did not vote
Kentucky,17195,68,College,Female,White,"Married, spouse present",0,Voted
Ohio,5815,46,High School,Male,White,Never married/single,0,Voted
Wyoming,51861,30,High School,Male,White,Never married/single,2,Voted
Pennsylvania,28197,65,College,Female,White,"Married, spouse present",2,Voted
Texas,22523,80,College,Female,Black/Negro,Widowed,2,Voted
Massachusetts,12238,85,High School,Female,White,Divorced,0,Voted
Maryland,13868,24,High School,Female,Black/Negro,Never married/single,1,Voted
California,253021,28,High School,Female,White,Never married/single,0,Did not vote
California,128693,38,College,Male,Asian only,Never married/single,2,Voted
New Hampshire,164908,21,High School,Male,White,Never married/single,1,Don't know
California,28702,80,College,Female,Asian only,Never married/single,0,Voted
West Virginia,67614,35,High School,Female,White,"Married, spouse present",2,Voted
California,79737,25,High School,Female,Asian only,Never married/single,1,Did not vote
Alabama,39156,26,College,Male,Black/Negro,Never married/single,0,Voted
Delaware,23249,49,College,Female,White,Never married/single,3,Voted
Texas,20493,65,High School,Female,Black/Negro,Widowed,2,Voted
Florida,14577,64,College,Male,White,Separated,2,Voted
California,74012,26,College,Male,White,Never married/single,0,Voted
Ohio,50305,85,High School,Male,White,Widowed,0,Did not vote
Massachusetts,219015,35,College,Female,White,Never married/single,1,Voted
Mississippi,16111,27,High School,Female,Black/Negro,Never married/single,3,Voted
Indiana,66872,71,College,Female,White,"Married, spouse present",0,Voted
Texas,117627,59,High School,Female,Black/Negro,"Married, spouse present",0,Voted
Massachusetts,28910,58,High School,Female,White,Divorced,2,Voted
Vermont,45672,71,High School,Female,White,"Married, spouse present",1,Voted
Texas,38409,54,No Degree,Male,White,Divorced,5,Did not vote
Idaho,7089,58,College,Female,White,"Married, spouse present",2,Did not vote
West Virginia,66360,35,College,Male,White,"Married, spouse present",0,Voted
Kentucky,103107,26,College,Female,White,"Married, spouse present",0,Voted
New Mexico,78902,51,High School,Male,White,Divorced,0,Did not vote
Massachusetts,164471,54,College,Male,White,Divorced,0,Voted
Tennessee,83678,29,College,Male,Asian only,Never married/single,0,Did not vote
Michigan,225036,60,College,Female,White,Divorced,3,Did not vote
Idaho,33589,60,High School,Male,White,Divorced,1,Voted
Idaho,74228,63,College,Female,White,"Married, spouse present",3,Voted
Alabama,32591,41,College,Male,White,"Married, spouse present",3,Voted
Texas,87681,77,College,Female,White,"Married, spouse present",2,Voted
Mississippi,87052,26,High School,Male,White,Never married/single,1,Don't know
New Mexico,6261,79,College,Male,White,Divorced,0,Did not vote
New York,371477,77,College,Female,White,Never married/single,2,Voted
Texas,36219,38,College,Male,White,"Married, spouse present",1,Voted
Florida,77754,33,High School,Female,White,Divorced,2,Voted
Tennessee,214725,60,College,Female,White,Divorced,1,Voted
Ohio,68351,80,High School,Female,White,Widowed,0,Did not vote
Montana,78920,35,College,Female,White,"Married, spouse present",2,Voted
Oregon,39347,35,High School,Male,White,Never married/single,0,Voted
California,98685,60,College,Male,White,Never married/single,0,Voted
New Jersey,115025,59,College,Male,White,"Married, spouse absent",1,Did not vote
Pennsylvania,549257,34,College,Female,White,"Married, spouse present",1,Did not vote
Ohio,46731,85,High School,Female,White,Divorced,2,Voted
California,177275,33,College,Female,Asian only,"Married, spouse present",2,Voted
Alabama,14811,54,High School,Male,White,Never married/single,0,Voted
New York,290799,25,High School,Female,White,Never married/single,0,Don't know
Connecticut,34844,85,High School,Female,White,"Married, spouse present",1,Voted
Michigan,32308,21,High School,Female,White-Asian,Never married/single,0,Voted
Maryland,96650,67,College,Female,Black/Negro,Divorced,0,Voted
District of Columbia,69881,65,High School,Female,Black/Negro,"Married, spouse present",2,Voted
Vermont,38064,64,College,Female,White,"Married, spouse present",2,Voted
Louisiana,204542,50,College,Male,White,"Married, spouse absent",2,Did not vote
New York,130757,58,High School,Female,White,"Married, spouse present",3,Did not vote
Alaska,190087,80,College,Male,White,"Married, spouse present",1,Voted
Colorado,9716,64,High School,Female,White,Divorced,2,Did not vote
Louisiana,19222,85,College,Female,White,Widowed,2,Did not vote
Iowa,150804,58,High School,Male,White,Divorced,1,Did not vote
Ohio,50810,85,College,Male,White,Widowed,2,Voted
Delaware,40282,43,College,Female,Black/Negro,Never married/single,1,Voted
South Carolina,99145,24,High School,Male,White,Never married/single,1,Voted
New Mexico,39999,85,College,Female,White,Widowed,1,Voted
Arkansas,11837,26,High School,Female,White,Never married/single,2,Did not vote
Pennsylvania,127903,28,No Degree,Female,White,Never married/single,0,Voted
Nebraska,89813,46,College,Female,White,"Married, spouse present",2,Voted
Arizona,31129,36,High School,Male,White,"Married, spouse present",3,Voted
Hawaii,82733,30,High School,Female,White,"Married, spouse present",1,Voted
Florida,45704,35,High School,Female,White,Divorced,1,Voted
California,148163,46,High School,Male,White-Black,Never married/single,2,Did not vote
Ohio,100484,19,High School,Male,White,Never married/single,3,Did not vote
California,107460,50,College,Male,White,"Married, spouse present",0,Don't know
South Dakota,60978,41,College,Male,White,"Married, spouse present",1,Voted
North Carolina,44209,40,High School,Male,White,Never married/single,0,Voted
North Dakota,132031,30,College,Female,White,"Married, spouse present",1,Voted
Georgia,40198,80,High School,Female,White,"Married, spouse present",2,Voted
North Carolina,105099,39,College,Male,White,Never married/single,1,Voted
Nebraska,48537,30,College,Female,White-American Indian,Never married/single,2,Voted
Massachusetts,175051,27,High School,Female,White,"Married, spouse present",0,Did not vote
Florida,169714,73,High School,Female,White,"Married, spouse present",1,Voted
Ohio,135790,46,High School,Male,White,"Married, spouse present",0,Did not vote
Iowa,20636,24,College,Female,White,Never married/single,2,Did not vote
Missouri,73022,80,High School,Male,White,Widowed,3,Voted
Missouri,33824,71,College,Female,White,"Married, spouse present",2,Voted
Ohio,128732,59,High School,Female,White,"Married, spouse present",0,Did not vote
Alabama,46657,69,High School,Female,White,Divorced,0,Did not vote
Montana,41334,54,High School,Female,White,"Married, spouse present",2,Voted
Alaska,115131,35,High School,Female,Black/Negro,"Married, spouse present",0,Did not vote
Alaska,117207,30,High School,Female,Hawaiian/Pacific Islander only,"Married, spouse present",2,Did not vote
Georgia,47181,77,High School,Female,Black/Negro,Divorced,3,Voted
Alabama,33189,27,High School,Male,White,Never married/single,0,Voted
Mississippi,40346,22,High School,Male,White,Never married/single,1,Did not vote
District of Columbia,222737,53,College,Male,Black/Negro,Never married/single,0,Voted
Wyoming,7258,79,High School,Female,White,Widowed,0,Voted
Alaska,33850,18,High School,Male,White-American Indian,Never married/single,0,Did not vote
Delaware,77680,60,College,Male,White,"Married, spouse present",1,Voted
Texas,31231,34,College,Male,Black/Negro,Never married/single,3,Voted
Ohio,86347,54,High School,Male,White,"Married, spouse present",2,Voted
New York,190867,61,College,Female,White,"Married, spouse present",1,Voted
Tennessee,76554,38,College,Female,White,"Married, spouse present",1,Voted
Maine,243077,66,High School,Female,White,"Married, spouse present",3,Voted
Florida,88558,22,High School,Female,Black/Negro,Never married/single,0,Voted
New York,133387,76,High School,Male,White,"Married, spouse present",0,Voted
New Hampshire,45899,33,No Degree,Female,White,Never married/single,2,Did not vote
Delaware,42673,69,High School,Female,Black/Negro,"Married, spouse present",0,Voted
Ohio,46154,71,High School,Female,White,"Married, spouse present",1,Voted
Oklahoma,103303,54,High School,Female,White,"Married, spouse present",2,Did not vote
Texas,28550,85,High School,Male,White,Widowed,0,Voted
Colorado,32724,70,High School,Female,White,Widowed,3,Voted
Vermont,79381,64,College,Female,White,Divorced,4,Voted
Washington,5881,23,High School,Female,White,Never married/single,0,Voted
Hawaii,147433,52,College,Female,White,"Married, spouse present",2,Did not vote
California,3363,20,High School,Male,White,Never married/single,1,Don't know
Minnesota,130952,45,High School,Female,White,"Married, spouse present",1,Voted
Georgia,29525,36,High School,Male,Black/Negro,Never married/single,0,Did not vote
Ohio,94079,34,College,Female,White,Never married/single,0,Voted
California,52558,19,High School,Male,White,Never married/single,1,Did not vote
Texas,114153,23,College,Female,White,Never married/single,2,Voted
New Jersey,37204,30,High School,Female,White,Never married/single,3,Did not vote
Montana,25098,51,High School,Male,White,Separated,3,Did not vote
Maryland,64747,80,College,Female,White,"Married, spouse present",0,Voted
Wyoming,47801,22,High School,Female,White,Never married/single,0,Did not vote
Oklahoma,51496,59,High School,Female,White,"Married, spouse present",1,Voted
Indiana,71714,26,College,Female,White,"Married, spouse present",1,Voted
District of Columbia,184426,43,College,Male,White,Divorced,2,Voted
New York,676,25,High School,Male,American Indian/Aleut/Eskimo,Never married/single,1,Did not vote
Louisiana,29673,43,No Degree,Female,Black/Negro,"Married, spouse present",1,Voted
Nevada,231366,41,College,Male,White,"Married, spouse present",0,Did not vote
Nebraska,69322,19,High School,Female,White,Never married/single,2,Voted
California,37379,80,College,Female,White,Widowed,0,Voted
Texas,93673,25,No Degree,Male,White,Never married/single,1,Don't know
Alabama,4100,20,High School,Male,White,Never married/single,0,Don't know
Arkansas,166870,54,College,Male,White,"Married, spouse present",4,Voted
Washington,111999,57,High School,Female,White,"Married, spouse present",0,Voted
California,66244,66,College,Female,White,"Married, spouse present",0,Voted
New Hampshire,27442,26,College,Male,White,Never married/single,0,Did not vote
Alabama,50480,32,High School,Male,Black/Negro,Never married/single,3,Voted
Florida,66073,26,High School,Female,White,"Married, spouse present",0,Voted
Massachusetts,101867,62,High School,Female,White,"Married, spouse present",3,Voted
Utah,13719,73,High School,Male,White,Widowed,2,Did not vote
New Mexico,76149,53,College,Male,White,Divorced,2,Voted
Connecticut,84374,21,High School,Male,White,Never married/single,0,Did not vote
Oklahoma,126310,46,College,Female,White,Divorced,0,Voted
Alaska,113214,35,High School,Female,American Indian/Aleut/Eskimo,Never married/single,2,Voted
Florida,58656,50,College,Female,White,Never married/single,0,Voted
Utah,110510,22,High School,Male,White,Never married/single,2,Voted
Michigan,109010,20,High School,Male,White,Never married/single,1,Did not vote
Louisiana,121258,49,High School,Female,Black/Negro,"Married, spouse present",2,Voted
Indiana,66828,55,High School,Male,White,"Married, spouse present",0,Voted
Indiana,56471,67,High School,Male,White,Widowed,3,Voted
West Virginia,26971,77,High School,Female,White,"Married, spouse present",0,Voted
Mississippi,99339,38,College,Female,White,"Married, spouse present",1,Voted
Arizona,16017,74,High School,Female,White,"Married, spouse present",3,Voted
Louisiana,10189,46,High School,Female,Black/Negro,Never married/single,0,Did not vote
California,127463,47,High School,Male,White,Never married/single,0,Voted
Wisconsin,1022,55,High School,Female,White,Divorced,0,Voted
Kansas,90957,21,High School,Male,White,Never married/single,1,Voted
Michigan,20943,35,No Degree,Male,White,Never married/single,1,Did not vote
Wisconsin,59400,78,High School,Female,White,Widowed,3,Voted
Florida,38741,50,College,Female,White,Divorced,1,Voted
Colorado,141381,54,High School,Male,White,"Married, spouse present",1,Voted
Virginia,72220,25,College,Female,White,Never married/single,3,Did not vote
California,49524,73,High School,Male,White,Divorced,1,Voted
Pennsylvania,38228,36,College,Female,White,Never married/single,2,Don't know
Maryland,78479,49,College,Female,Black/Negro,Never married/single,2,Voted
South Carolina,116578,67,No Degree,Female,White,"Married, spouse present",0,Voted
North Carolina,29554,38,College,Female,White,Never married/single,0,Voted
North Carolina,76147,51,College,Female,White,"Married, spouse present",1,Voted
Delaware,46183,42,High School,Female,White,Never married/single,2,Voted
Nevada,244131,57,High School,Female,White,"Married, spouse present",3,Did not vote
Kentucky,34811,21,High School,Male,White,Never married/single,4,Did not vote
Washington,56171,28,College,Female,White,Never married/single,1,Did not vote
New York,280056,19,High School,Female,White,Never married/single,3,Did not vote
Massachusetts,100259,51,College,Female,White,"Married, spouse present",0,Voted
New York,11033,32,College,Female,White,Never married/single,1,Don't know
Kentucky,94008,45,High School,Female,White,"Married, spouse present",1,Voted
South Carolina,19164,23,High School,Female,White,Never married/single,1,Voted
Nevada,7202,57,High School,Male,White,Never married/single,0,Voted
Pennsylvania,28650,75,High School,Female,White,"Married, spouse present",0,Voted
Colorado,149277,46,College,Male,White,"Married, spouse present",0,Voted
South Carolina,19470,72,High School,Female,Black/Negro,Never married/single,1,Did not vote
California,250763,28,College,Female,White,Never married/single,2,Voted
Virginia,18461,49,College,Female,White,Never married/single,0,Did not vote
Louisiana,38909,31,College,Female,White,Never married/single,0,Voted
District of Columbia,46109,45,High School,Male,Black/Negro,Never married/single,0,Did not vote
Wyoming,37924,23,High School,Female,White,Never married/single,0,Did not vote
Missouri,61820,79,High School,Female,White,"Married, spouse present",1,Voted
Mississippi,123847,40,High School,Female,White,"Married, spouse present",1,Voted
West Virginia,55254,26,High School,Female,White,"Married, spouse present",1,Voted
New Mexico,35515,71,High School,Female,White,"Married, spouse present",2,Voted
Texas,361585,33,High School,Female,White,"Married, spouse present",0,Voted
Georgia,9057,37,High School,Female,Black/Negro,Divorced,0,Voted
Minnesota,154842,30,College,Female,White,"Married, spouse present",2,Did not vote
California,1618,46,College,Female,White,Widowed,0,Did not vote
Utah,62727,21,High School,Female,Asian only,Never married/single,2,Did not vote
Washington,136795,25,College,Female,White,Never married/single,2,Did not vote
South Dakota,47823,44,High School,Male,Black/Negro,"Married, spouse present",1,Did not vote
Florida,66545,20,High School,Female,White,Never married/single,1,Voted
North Carolina,61285,39,College,Male,Asian only,"Married, spouse present",0,Voted
California,101290,33,College,Male,Asian only,Never married/single,0,Did not vote
California,187894,34,High School,Male,White,Never married/single,1,Voted
Idaho,217101,36,High School,Female,White,"Married, spouse present",3,Did not vote
Louisiana,130884,51,College,Female,White,Divorced,2,Voted
Illinois,100936,64,High School,Female,White,"Married, spouse present",0,Voted
California,33603,22,High School,Male,Asian only,Never married/single,0,Don't know
West Virginia,56343,26,College,Female,White,"Married, spouse present",2,Did not vote
Rhode Island,26114,68,High School,Male,White,Never married/single,0,Did not vote
Texas,8159,24,High School,Male,White,Never married/single,1,Did not vote
Kentucky,14319,80,High School,Female,Black/Negro,"Married, spouse present",0,Voted
New Mexico,140197,18,No Degree,Male,White,Never married/single,0,Did not vote
California,228048,47,College,Male,White,"Married, spouse present",2,Voted
Pennsylvania,95351,30,College,Female,White,"Married, spouse present",2,Voted
District of Columbia,48724,85,College,Female,White,Widowed,0,Did not vote
Indiana,58066,38,College,Male,Black/Negro,"Married, spouse present",0,Voted
Georgia,149207,69,College,Female,White,"Married, spouse present",1,Voted
Rhode Island,19072,80,High School,Female,White,Widowed,0,Voted
